time,miner,original_block_numer,block_mined,uncle_reward
1438270048,0xc8ebccc5f5689fa8659d83713341e5ad19349448,1,3,3750000000000000000
1438270077,0x5088d623ba0fcf0131e0897a91734a4d83596aa0,1,4,3125000000000000000
1438270110,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,1,7,1250000000000000000
1438270193,0x6923f88fcdc5d737237ba10c2d830aa40f4634de,19,21,3750000000000000000
1438270245,0xdb312d1d6a2ccc64dd94a3892928bac82b4e8c15,31,33,3750000000000000000
1438270265,0x26350da68d694a2ced5cd7a1309baa782966a039,33,36,3125000000000000000
1438270267,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c,35,37,3750000000000000000
1438270320,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c,53,55,3750000000000000000
1438270322,0x05a56e2d52c817161883f50c441c3228cfe54d9f,54,56,3750000000000000000
1438270340,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,61,63,3750000000000000000
1438270361,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,64,66,3750000000000000000
1438270377,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93,69,71,3750000000000000000
1438270385,0x26350da68d694a2ced5cd7a1309baa782966a039,74,76,3750000000000000000
1438270389,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93,76,78,3750000000000000000
1438270407,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93,80,83,3125000000000000000
1438270430,0xbb7b8287f3f0a933474a79eae42cbca977791171,91,93,3750000000000000000
1438270431,0xbb7b8287f3f0a933474a79eae42cbca977791171,90,94,2500000000000000000
1438270438,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,94,97,3125000000000000000
1438270438,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93,94,97,3125000000000000000
1438270441,0xbb7b8287f3f0a933474a79eae42cbca977791171,97,99,3750000000000000000
1438270453,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c,102,105,3125000000000000000
1438270456,0x5088d623ba0fcf0131e0897a91734a4d83596aa0,106,108,3750000000000000000
1438270468,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c,109,111,3750000000000000000
1438270469,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,110,112,3750000000000000000
1438270484,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93,116,120,2500000000000000000
1438270500,0x2f85b3bf062769b2a2672200afb21e3f4067a86d,124,126,3750000000000000000
1438270510,0x70137010922f2fc2964b3792907f79fbb75febe8,130,132,3750000000000000000
1438270520,0x9ab9f7a4b85412bfbe2f4f63b1c98808851c4f32,133,135,3750000000000000000
1438270522,0xc1cdc601f89c0428b31302d187e0dc08ad7d1c57,133,136,3125000000000000000
1438270532,0xbb7b8287f3f0a933474a79eae42cbca977791171,139,141,3750000000000000000
1438270532,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c,139,141,3750000000000000000
1438270533,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93,139,142,3125000000000000000
1438270549,0xbb7b8287f3f0a933474a79eae42cbca977791171,147,149,3750000000000000000
1438270552,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c,149,151,3750000000000000000
1438270561,0x19dafe19f11e960e4ccfc6a5aa8890ebd748ca1e,156,158,3750000000000000000
1438270570,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93,158,163,1875000000000000000
1438270572,0xbb7b8287f3f0a933474a79eae42cbca977791171,163,165,3750000000000000000
1438270580,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,168,170,3750000000000000000
1438270587,0x70137010922f2fc2964b3792907f79fbb75febe8,171,174,3125000000000000000
